candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_002239,<30,0.569894,0.55408716,0.52446103,0.029626131,-0.045432985,-0.015806854
cand_002269,40-49,0.529173,0.5332142,0.62179154,-0.08857733,0.092618525,0.004041195
cand_002270,<30,0.52734137,0.5684464,0.5781796,-0.0097332,0.050838232,0.041105032
cand_002281,50-59,0.69782746,0.68201447,0.7475185,-0.065504014,0.04969102,-0.015812993
cand_002284,50-59,0.6482813,0.6561437,0.63069373,0.025449991,-0.017587543,0.007862449
cand_002299,<30,0.64318395,0.6293491,0.6251837,0.004165411,-0.018000245,-0.013834834
cand_002304,50-59,0.72823715,0.7295316,0.75816214,-0.028630555,0.029924989,0.0012944341
cand_002305,50-59,0.67654246,0.682827,0.7049943,-0.022167325,0.02845186,0.006284535
cand_002307,60+,0.6868891,0.6053088,0.61804605,-0.012737274,-0.06884307,-0.08158034
cand_002311,<30,0.59784806,0.60368335,0.6354304,-0.031747043,0.037582338,0.0058352947
cand_002316,40-49,0.6863753,0.6504257,0.6244244,0.026001275,-0.061950922,-0.035949647
cand_002319,60+,0.78105205,0.71162647,0.7342495,-0.022623003,-0.04680258,-0.06942558
cand_002324,30-39,0.59672916,0.6166134,0.677433,-0.060819626,0.080703855,0.019884229
cand_002376,50-59,0.63164425,0.6891062,0.646626,0.04248023,0.014981747,0.057461977
cand_002397,50-59,0.7048277,0.6914754,0.68035156,0.011123836,-0.02447617,-0.0133523345
cand_002407,30-39,0.5684874,0.56218326,0.5334316,0.028751671,-0.035055816,-0.006304145
cand_002423,<30,0.6243044,0.68994606,0.6288382,0.061107874,0.0045337677,0.06564164
cand_002432,<30,0.5599159,0.66505027,0.6222942,0.04275608,0.062378287,0.10513437
cand_002434,30-39,0.5342636,0.65094906,0.678735,-0.027785957,0.1444714,0.11668545
cand_002452,50-59,0.7473445,0.69166684,0.71279,-0.02112317,-0.03455448,-0.055677652
cand_002455,50-59,0.6833942,0.6928432,0.7140374,-0.02119422,0.030643225,0.009449005
cand_002456,40-49,0.75879973,0.6832006,0.72555554,-0.04235494,-0.033244193,-0.075599134
cand_002460,50-59,0.6890403,0.69818294,0.65428144,0.043901503,-0.034758866,0.009142637
cand_002462,60+,0.65138495,0.63780403,0.6688713,-0.031067252,0.017486334,-0.013580918
cand_002484,50-59,0.6100371,0.6482913,0.6617049,-0.013413608,0.05166781,0.0382542
cand_002495,30-39,0.68096864,0.66937727,0.67535925,-0.0059819818,-0.005609393,-0.011591375
cand_002530,40-49,0.5459994,0.50209165,0.6308373,-0.12874568,0.08483791,-0.04390776
cand_002544,40-49,0.46892172,0.5124297,0.5879181,-0.07548839,0.11899638,0.043507993
cand_002581,60+,0.6945424,0.6875284,0.6874333,9.506941e-05,-0.0071091056,-0.007014036
cand_002585,60+,0.55726194,0.5559944,0.5803098,-0.024315417,0.023047864,-0.0012675524
cand_002605,30-39,0.5705906,0.58281314,0.5784252,0.004387915,0.007834613,0.012222528
cand_002608,40-49,0.58479595,0.6235343,0.5952242,0.02831012,0.01042825,0.03873837
cand_002617,<30,0.5552821,0.6196828,0.5446924,0.07499039,-0.010589719,0.06440067
cand_002625,40-49,0.62048185,0.5847501,0.66375685,-0.07900673,0.043275,-0.035731733
cand_002633,50-59,0.66559184,0.6412942,0.6268992,0.014394999,-0.038692653,-0.024297655
cand_002634,60+,0.59477043,0.63099766,0.639769,-0.00877136,0.044998586,0.036227226
cand_002638,60+,0.60954416,0.5249534,0.5692159,-0.04426247,-0.040328264,-0.08459073
cand_002654,<30,0.6034554,0.60778356,0.5837085,0.024075031,-0.0197469,0.0043281317
cand_002658,30-39,0.5164727,0.59755796,0.601741,-0.004183054,0.08526832,0.081085265
cand_002708,50-59,0.6020651,0.68100387,0.65000725,0.03099662,0.04794216,0.07893878
cand_002710,60+,0.72318673,0.7021415,0.68891954,0.013221979,-0.034267187,-0.021045208
cand_002720,40-49,0.558344,0.5720233,0.55201614,0.020007133,-0.0063278675,0.013679266
cand_002729,30-39,0.60751766,0.61915475,0.6090961,0.010058641,0.0015784502,0.011637092
cand_002735,60+,0.6860664,0.6059107,0.67078984,-0.06487912,-0.015276551,-0.08015567
cand_002759,<30,0.61016154,0.59953177,0.6240956,-0.024563849,0.013934076,-0.010629773
cand_002783,60+,0.7114998,0.71007246,0.7284558,-0.018383324,0.016955972,-0.0014273524
cand_002784,30-39,0.49558717,0.6051204,0.5574068,0.047713637,0.061819613,0.10953325
cand_002790,50-59,0.58279335,0.6211858,0.6322989,-0.011113107,0.04950553,0.038392425
cand_002796,50-59,0.6623384,0.5972462,0.67493,-0.07768375,0.0125916,-0.06509215
cand_002801,50-59,0.55945814,0.5835567,0.57277775,0.010778964,0.013319612,0.024098575
